_date,total_clones,unique_clones
2025-12-08,78,56
2025-12-09,16,15
2025-12-10,64,45
2025-12-11,110,72
2025-12-12,14,11
2025-12-13,48,36
2025-12-14,14,12
2025-12-15,44,36
2025-12-16,128,85
2025-12-17,195,100
2025-12-18,238,76
2025-12-19,293,97
2025-12-20,239,120
2025-12-21,500,204
2025-12-22,738,175
2025-12-23,327,111
2025-12-24,82,44
2025-12-25,107,66
2025-12-26,181,77
2025-12-27,69,40
2025-12-28,208,108
2025-12-29,131,71
2025-12-30,145,61
2025-12-31,176,86
2026-01-01,76,58
2026-01-02,630,156
2026-01-03,326,137
2026-01-04,361,163
2026-01-05,139,70
2026-01-06,269,142
2026-01-07,144,98
2026-01-08,369,109
2026-01-09,508,239
2026-01-10,149,100
2026-01-11,629,238
2026-01-12,284,148
2026-01-13,299,163
2026-01-14,383,207
2026-01-15,283,157
2026-01-16,241,127
2026-01-17,497,135
2026-01-18,235,153
2026-01-19,355,91
2026-01-20,125,90
2026-01-21,313,101
2026-01-22,167,87
2026-01-23,314,106
2026-01-24,109,72
