🔍 [Forensic Stepper]: loading targets 'example-pivot-finder_10_bottoms'...
🎯 [Forensic Stepper]: Extracted 9 confirmed target zones.
🔍 [Forensic Stepper]: Interrogating checkpoint 'model-best-gen12-f1-0.7692.pt'...
🚀 [Forensic Stepper]: Initiating Walk-Forward for -1 steps.
📦 Payload Indicators: ['williamsr_14', 'example-multi-tf-rsi_EUR-USD_14_14_14_14', 'cci_20', 'is-open', 'ppo_12_26_9', 'example-multi-tf-rsi_DOLLAR.IDX-USD_14_14_14_14', 'example-multi-tf-rsi_GBP-USD_14_14_14_14']
------------------------------------------------------------
Step    1/301 | Bars:    1 | Score: 0.0166433621 | Target: 0
Step    2/301 | Bars:    2 | Score: 0.0194137469 | Target: 0
Step    3/301 | Bars:    3 | Score: 0.0016062259 | Target: 0
Step    4/301 | Bars:    4 | Score: 0.0011029957 | Target: 0
Step    5/301 | Bars:    5 | Score: 0.0077708345 | Target: 0
Step    6/301 | Bars:    6 | Score: 0.0294735096 | Target: 0
Step    7/301 | Bars:    7 | Score: 0.0427162126 | Target: 0
Step    8/301 | Bars:    8 | Score: 0.2394374907 | Target: 1 ENTER_POSITION
Step    9/301 | Bars:    9 | Score: 0.0588816404 | Target: 0
Step   10/301 | Bars:   10 | Score: 0.0283192452 | Target: 0
Step   11/301 | Bars:   11 | Score: 0.0142511884 | Target: 0
Step   12/301 | Bars:   12 | Score: 0.0396300182 | Target: 0
Step   13/301 | Bars:   13 | Score: 0.0041583031 | Target: 0
Step   14/301 | Bars:   14 | Score: 0.0048593264 | Target: 0
Step   15/301 | Bars:   15 | Score: 0.0022218905 | Target: 0
Step   16/301 | Bars:   16 | Score: 0.0031340073 | Target: 0
Step   17/301 | Bars:   17 | Score: 0.0158094186 | Target: 0
Step   18/301 | Bars:   18 | Score: 0.0084471600 | Target: 0
Step   19/301 | Bars:   19 | Score: 0.0011726801 | Target: 0
Step   20/301 | Bars:   20 | Score: 0.0013800077 | Target: 0
Step   21/301 | Bars:   21 | Score: 0.0002669702 | Target: 0
Step   22/301 | Bars:   22 | Score: 0.0001471258 | Target: 0
Step   23/301 | Bars:   23 | Score: 0.0000847827 | Target: 0
Step   24/301 | Bars:   24 | Score: 0.0001131802 | Target: 0
Step   25/301 | Bars:   25 | Score: 0.0001019032 | Target: 0
Step   26/301 | Bars:   26 | Score: 0.0001317216 | Target: 0
Step   27/301 | Bars:   27 | Score: 0.0000101174 | Target: 0
Step   28/301 | Bars:   28 | Score: 0.0000450424 | Target: 0
Step   29/301 | Bars:   29 | Score: 0.0003875145 | Target: 0
Step   30/301 | Bars:   30 | Score: 0.0009093722 | Target: 0
Step   31/301 | Bars:   31 | Score: 0.0000353730 | Target: 0
Step   32/301 | Bars:   32 | Score: 0.0000002514 | Target: 0
Step   33/301 | Bars:   33 | Score: 0.0000000699 | Target: 0
Step   34/301 | Bars:   34 | Score: 0.0000028468 | Target: 0
Step   35/301 | Bars:   35 | Score: 0.0000509330 | Target: 0
